criterion,threshold,condition,accuracy,precision,recall,f1,far,frr,tn,fp,fn,tp
max_f1,0.0187880173325538,low_light,0.844,0.8028169014084507,0.912,0.8539325842696629,0.224,0.088,194,56,22,228
max_f1,0.0187880173325538,overexposure,0.936,0.9097744360902256,0.968,0.937984496124031,0.096,0.032,226,24,8,242
max_f1,0.0187880173325538,low_contrast,0.912,0.8931297709923665,0.936,0.9140625,0.112,0.064,222,28,16,234
max_f1,0.0187880173325538,noise,0.964,0.9496124031007752,0.98,0.9645669291338582,0.052,0.02,237,13,5,245
max_f1,0.0187880173325538,blur,0.982,0.9688715953307393,0.996,0.9822485207100592,0.032,0.004,242,8,1,249
max_f1,0.0187880173325538,rotation_crop,0.978,0.9686274509803922,0.988,0.9782178217821782,0.032,0.012,242,8,3,247
max_f1,0.0187880173325538,partial_occlusion,0.974,0.9575289575289575,0.992,0.9744597249508841,0.044,0.008,239,11,2,248
max_f1,0.0187880173325538,synthetic_glasses,0.98,0.9651162790697675,0.996,0.9803149606299213,0.036,0.004,241,9,1,249
max_f1,0.0187880173325538,synthetic_beard_shadow,0.982,0.9688715953307393,0.996,0.9822485207100592,0.032,0.004,242,8,1,249
balanced_far_frr,0.1535217761993408,low_light,0.852,0.860655737704918,0.84,0.8502024291497976,0.136,0.16,216,34,40,210
balanced_far_frr,0.1535217761993408,overexposure,0.89,0.9577464788732394,0.816,0.8812095032397408,0.036,0.184,241,9,46,204
balanced_far_frr,0.1535217761993408,low_contrast,0.9,0.9201680672268907,0.876,0.8975409836065574,0.076,0.124,231,19,31,219
balanced_far_frr,0.1535217761993408,noise,0.962,0.979253112033195,0.944,0.9613034623217923,0.02,0.056,245,5,14,236
balanced_far_frr,0.1535217761993408,blur,0.98,0.9761904761904762,0.984,0.9800796812749004,0.024,0.016,244,6,4,246
balanced_far_frr,0.1535217761993408,rotation_crop,0.968,0.975609756097561,0.96,0.967741935483871,0.024,0.04,244,6,10,240
balanced_far_frr,0.1535217761993408,partial_occlusion,0.968,0.9795081967213115,0.956,0.9676113360323887,0.02,0.044,245,5,11,239
balanced_far_frr,0.1535217761993408,synthetic_glasses,0.974,0.979757085020243,0.968,0.9738430583501007,0.02,0.032,245,5,8,242
balanced_far_frr,0.1535217761993408,synthetic_beard_shadow,0.952,0.9788135593220338,0.924,0.9506172839506173,0.02,0.076,245,5,19,231
far_lte_1,0.8299853801727295,low_light,0.56,0.8947368421052632,0.136,0.2361111111111111,0.016,0.864,246,4,216,34
far_lte_1,0.8299853801727295,overexposure,0.58,0.9347826086956522,0.172,0.2905405405405405,0.012,0.828,247,3,207,43
far_lte_1,0.8299853801727295,low_contrast,0.678,0.9494949494949495,0.376,0.5386819484240688,0.02,0.624,245,5,156,94
far_lte_1,0.8299853801727295,noise,0.664,0.9659090909090909,0.34,0.5029585798816568,0.012,0.66,247,3,165,85
far_lte_1,0.8299853801727295,blur,0.678,0.968421052631579,0.368,0.5333333333333333,0.012,0.632,247,3,158,92
far_lte_1,0.8299853801727295,rotation_crop,0.802,0.9870967741935484,0.612,0.7555555555555555,0.008,0.388,248,2,97,153
far_lte_1,0.8299853801727295,partial_occlusion,0.646,0.974025974025974,0.3,0.45871559633027525,0.008,0.7,248,2,175,75
far_lte_1,0.8299853801727295,synthetic_glasses,0.642,0.961038961038961,0.296,0.4525993883792049,0.012,0.704,247,3,176,74
far_lte_1,0.8299853801727295,synthetic_beard_shadow,0.628,0.9705882352941176,0.264,0.41509433962264153,0.008,0.736,248,2,184,66
far_lte_2,0.3128704726696014,low_light,0.782,0.8895027624309392,0.644,0.7470997679814385,0.08,0.356,230,20,89,161
far_lte_2,0.3128704726696014,overexposure,0.832,0.9770114942528736,0.68,0.8018867924528302,0.016,0.32,246,4,80,170
far_lte_2,0.3128704726696014,low_contrast,0.816,0.9157894736842105,0.696,0.7909090909090909,0.064,0.304,234,16,76,174
far_lte_2,0.3128704726696014,noise,0.918,0.986046511627907,0.848,0.9118279569892473,0.012,0.152,247,3,38,212
far_lte_2,0.3128704726696014,blur,0.952,0.9747899159663865,0.928,0.9508196721311475,0.024,0.072,244,6,18,232
far_lte_2,0.3128704726696014,rotation_crop,0.952,0.9788135593220338,0.924,0.9506172839506173,0.02,0.076,245,5,19,231
far_lte_2,0.3128704726696014,partial_occlusion,0.938,0.9781659388646288,0.896,0.9352818371607515,0.02,0.104,245,5,26,224
far_lte_2,0.3128704726696014,synthetic_glasses,0.958,0.9790794979079498,0.936,0.9570552147239264,0.02,0.064,245,5,16,234
far_lte_2,0.3128704726696014,synthetic_beard_shadow,0.906,0.9765258215962441,0.832,0.8984881209503239,0.02,0.168,245,5,42,208
far_lte_3,0.0187880173325538,low_light,0.844,0.8028169014084507,0.912,0.8539325842696629,0.224,0.088,194,56,22,228
far_lte_3,0.0187880173325538,overexposure,0.936,0.9097744360902256,0.968,0.937984496124031,0.096,0.032,226,24,8,242
far_lte_3,0.0187880173325538,low_contrast,0.912,0.8931297709923665,0.936,0.9140625,0.112,0.064,222,28,16,234
far_lte_3,0.0187880173325538,noise,0.964,0.9496124031007752,0.98,0.9645669291338582,0.052,0.02,237,13,5,245
far_lte_3,0.0187880173325538,blur,0.982,0.9688715953307393,0.996,0.9822485207100592,0.032,0.004,242,8,1,249
far_lte_3,0.0187880173325538,rotation_crop,0.978,0.9686274509803922,0.988,0.9782178217821782,0.032,0.012,242,8,3,247
far_lte_3,0.0187880173325538,partial_occlusion,0.974,0.9575289575289575,0.992,0.9744597249508841,0.044,0.008,239,11,2,248
far_lte_3,0.0187880173325538,synthetic_glasses,0.98,0.9651162790697675,0.996,0.9803149606299213,0.036,0.004,241,9,1,249
far_lte_3,0.0187880173325538,synthetic_beard_shadow,0.982,0.9688715953307393,0.996,0.9822485207100592,0.032,0.004,242,8,1,249
security_first,0.3128704726696014,low_light,0.782,0.8895027624309392,0.644,0.7470997679814385,0.08,0.356,230,20,89,161
security_first,0.3128704726696014,overexposure,0.832,0.9770114942528736,0.68,0.8018867924528302,0.016,0.32,246,4,80,170
security_first,0.3128704726696014,low_contrast,0.816,0.9157894736842105,0.696,0.7909090909090909,0.064,0.304,234,16,76,174
security_first,0.3128704726696014,noise,0.918,0.986046511627907,0.848,0.9118279569892473,0.012,0.152,247,3,38,212
security_first,0.3128704726696014,blur,0.952,0.9747899159663865,0.928,0.9508196721311475,0.024,0.072,244,6,18,232
security_first,0.3128704726696014,rotation_crop,0.952,0.9788135593220338,0.924,0.9506172839506173,0.02,0.076,245,5,19,231
security_first,0.3128704726696014,partial_occlusion,0.938,0.9781659388646288,0.896,0.9352818371607515,0.02,0.104,245,5,26,224
security_first,0.3128704726696014,synthetic_glasses,0.958,0.9790794979079498,0.936,0.9570552147239264,0.02,0.064,245,5,16,234
security_first,0.3128704726696014,synthetic_beard_shadow,0.906,0.9765258215962441,0.832,0.8984881209503239,0.02,0.168,245,5,42,208
