criterion,threshold,condition,accuracy,precision,recall,f1,far,frr,tn,fp,fn,tp
max_f1,0.95511794090271,low_light,0.5,0.0,0.0,0.0,0.0,1.0,250,0,250,0
max_f1,0.95511794090271,overexposure,0.54,0.8333333333333334,0.1,0.17857142857142858,0.02,0.9,245,5,225,25
max_f1,0.95511794090271,low_contrast,0.59,1.0,0.18,0.3050847457627119,0.0,0.82,250,0,205,45
max_f1,0.95511794090271,noise,0.942,0.9911111111111112,0.892,0.9389473684210526,0.008,0.108,248,2,27,223
max_f1,0.95511794090271,blur,0.886,0.9898477157360406,0.78,0.87248322147651,0.008,0.22,248,2,55,195
max_f1,0.95511794090271,rotation_crop,0.968,0.9875,0.948,0.9673469387755103,0.012,0.052,247,3,13,237
max_f1,0.95511794090271,partial_occlusion,0.96,0.9791666666666666,0.94,0.9591836734693877,0.02,0.06,245,5,15,235
max_f1,0.95511794090271,synthetic_glasses,0.966,0.9874476987447699,0.944,0.9652351738241309,0.012,0.056,247,3,14,236
max_f1,0.95511794090271,synthetic_beard_shadow,0.964,0.9873949579831933,0.94,0.9631147540983607,0.012,0.06,247,3,15,235
balanced_far_frr,0.8862268924713135,low_light,0.548,0.8529411764705882,0.116,0.20422535211267606,0.02,0.884,245,5,221,29
balanced_far_frr,0.8862268924713135,overexposure,0.67,0.9207920792079208,0.372,0.5299145299145299,0.032,0.628,242,8,157,93
balanced_far_frr,0.8862268924713135,low_contrast,0.666,0.9108910891089109,0.368,0.5242165242165242,0.036,0.632,241,9,158,92
balanced_far_frr,0.8862268924713135,noise,0.974,0.9683794466403162,0.98,0.974155069582505,0.032,0.02,242,8,5,245
balanced_far_frr,0.8862268924713135,blur,0.972,0.9609375,0.984,0.9723320158102767,0.04,0.016,240,10,4,246
balanced_far_frr,0.8862268924713135,rotation_crop,0.986,0.9727626459143969,1.0,0.9861932938856016,0.028,0.0,243,7,0,250
balanced_far_frr,0.8862268924713135,partial_occlusion,0.98,0.9615384615384616,1.0,0.9803921568627451,0.04,0.0,240,10,0,250
balanced_far_frr,0.8862268924713135,synthetic_glasses,0.98,0.9651162790697675,0.996,0.9803149606299213,0.036,0.004,241,9,1,249
balanced_far_frr,0.8862268924713135,synthetic_beard_shadow,0.976,0.9541984732824428,1.0,0.9765625,0.048,0.0,238,12,0,250
far_lte_1,0.95511794090271,low_light,0.5,0.0,0.0,0.0,0.0,1.0,250,0,250,0
far_lte_1,0.95511794090271,overexposure,0.54,0.8333333333333334,0.1,0.17857142857142858,0.02,0.9,245,5,225,25
far_lte_1,0.95511794090271,low_contrast,0.59,1.0,0.18,0.3050847457627119,0.0,0.82,250,0,205,45
far_lte_1,0.95511794090271,noise,0.942,0.9911111111111112,0.892,0.9389473684210526,0.008,0.108,248,2,27,223
