model,criterion,threshold,condition,accuracy,f1,far,frr
baseline_con_aumento,security_first,0.3128704726696014,low_light,0.782,0.7470997679814385,0.08,0.356
baseline_con_aumento,security_first,0.3128704726696014,overexposure,0.832,0.8018867924528302,0.016,0.32
baseline_con_aumento,security_first,0.3128704726696014,low_contrast,0.816,0.7909090909090909,0.064,0.304
baseline_con_aumento,security_first,0.3128704726696014,noise,0.918,0.9118279569892472,0.012,0.152
baseline_con_aumento,security_first,0.3128704726696014,blur,0.952,0.9508196721311476,0.024,0.072
baseline_con_aumento,security_first,0.3128704726696014,rotation_crop,0.952,0.9506172839506172,0.02,0.076
baseline_con_aumento,security_first,0.3128704726696014,partial_occlusion,0.938,0.9352818371607516,0.02,0.104
baseline_con_aumento,security_first,0.3128704726696014,synthetic_glasses,0.958,0.9570552147239264,0.02,0.064
baseline_con_aumento,security_first,0.3128704726696014,synthetic_beard_shadow,0.906,0.8984881209503239,0.02,0.168
siamese_gap_l2_cosine,security_first,0.95511794090271,low_light,0.5,0.0,0.0,1.0
siamese_gap_l2_cosine,security_first,0.95511794090271,overexposure,0.54,0.1785714285714285,0.02,0.9
siamese_gap_l2_cosine,security_first,0.95511794090271,low_contrast,0.59,0.3050847457627119,0.0,0.82
siamese_gap_l2_cosine,security_first,0.95511794090271,noise,0.942,0.9389473684210526,0.008,0.108
siamese_gap_l2_cosine,security_first,0.95511794090271,blur,0.886,0.87248322147651,0.008,0.22
siamese_gap_l2_cosine,security_first,0.95511794090271,rotation_crop,0.968,0.9673469387755104,0.012,0.052
siamese_gap_l2_cosine,security_first,0.95511794090271,partial_occlusion,0.96,0.9591836734693876,0.02,0.06
siamese_gap_l2_cosine,security_first,0.95511794090271,synthetic_glasses,0.966,0.9652351738241308,0.012,0.056
siamese_gap_l2_cosine,security_first,0.95511794090271,synthetic_beard_shadow,0.964,0.9631147540983608,0.012,0.06
